[Sun Jan 08 17:59:06.833754 2023] [:error] [pid 2079] [client 172.18.0.1:60372] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:59:06.835835 2023] [:error] [pid 2079] [client 172.18.0.1:60372] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:59:06.837062 2023] [:error] [pid 2075] [client 172.18.0.1:60388] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:59:06.839844 2023] [:error] [pid 2075] [client 172.18.0.1:60388] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:59:06.843181 2023] [:error] [pid 2081] [client 172.18.0.1:60396] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:59:06.844863 2023] [:error] [pid 2081] [client 172.18.0.1:60396] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:59:06.854178 2023] [:error] [pid 2077] [client 172.18.0.1:60362] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:59:06.855497 2023] [:error] [pid 2077] [client 172.18.0.1:60362] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:59:06.859689 2023] [:error] [pid 2080] [client 172.18.0.1:60404] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:59:06.860714 2023] [:error] [pid 2080] [client 172.18.0.1:60404] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:59:06.861335 2023] [:error] [pid 2075] [client 172.18.0.1:60388] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:59:06.863351 2023] [:error] [pid 2075] [client 172.18.0.1:60388] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:59:06.869813 2023] [:error] [pid 2081] [client 172.18.0.1:60396] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:59:06.870808 2023] [:error] [pid 2081] [client 172.18.0.1:60396] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:59:06.875336 2023] [:error] [pid 2077] [client 172.18.0.1:60362] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:59:06.876095 2023] [:error] [pid 2077] [client 172.18.0.1:60362] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:59:06.880400 2023] [:error] [pid 2283] [client 172.18.0.1:60346] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:59:06.880891 2023] [:error] [pid 2283] [client 172.18.0.1:60346] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:59:06.895545 2023] [:error] [pid 2283] [client 172.18.0.1:60346] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:59:06.896371 2023] [:error] [pid 2283] [client 172.18.0.1:60346] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:59:06.906186 2023] [:error] [pid 2077] [client 172.18.0.1:60362] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
